id,created_by,created_timestamp,deleted_by,deleted_timestamp,is_deleted,updated_by,updated_timestamp,category,description,duration,title
100,ADMIN,2022-01-23 00:00:00.000000,null,,false,null,,4А,"Маршрут проложен через высокогорное плато Лагонаки, Фишт-Оштенский массив и далее, на южный склон Кавказского хребта, вдоль водосборного бассейна реки Шахе до приюта Бабук-Аул. Горная тропа огибает величественный Фишт — самую западную вершину Кавказа, име",9,Через горы к морю - «30-й маршрут»
101,ADMIN,2022-02-05 00:00:00.000000,null,,false,null,,2А,"Природа щедро позаботилась о туристической привлекательности Крыма в целом и окрестностей Севастополя в частности. Здесь представлены три горные гряды Крыма: Внешняя гряда, Внутренняя гряда и Главная гряда. Холмы и горы с живописными скалами и балками, гл",9,Большая Севастопольская Тропа
102,ADMIN,2022-01-29 00:00:00.000000,null,,false,null,,6Б,Треккинг по долинам рек Кучерла и Аккем к подножью горы Белуха является самым популярным маршрутом на Алтае. Это относительно несложный и увлекательный маршрут знакомит с большим количеством природных памятников.,11,К подножию Белухи
103,ADMIN,2022-04-27 00:00:00.000000,null,,false,ADMIN,2022-06-01 00:00:00.000000,4А,"Начало маршрута у кордона национального парка Таганай рядом с городом Златоуст. На территории национального парка множество уникальных природных объектов, это настоящие чудеса природы, которые манят к себе путешественников и исследователей со времён освое",4,Хребет Таганай – озеро Тургояк
104,ADMIN,2022-04-18 00:00:00.000000,null,,false,ADMIN,2022-06-14 00:00:00.000000,3А,"Хребет Ергаки - один из самых удивительных уголков природы Западного Саяна. Необычайные по своей красоте и величию остроконечные гранитные пики, бурные и порожистые реки, глубочайшие, окружённые нетронутой тайгой и неприступными скальными стенами, озера, ",4,"Ергаки, Западные Саяны"
105,ADMIN,2022-01-15 00:00:00.000000,null,,false,ADMIN,2022-10-01 00:00:00.000000,1Б,"ольшая Байкальская Тропа (ББТ) - сеть обустроенных пешеходных троп вдоль берега Байкала, которые строят и поддерживают местные энтузиасты и волонтёры из России и других стран. Участок ББТ ""Листвянка – Большие Коты - Большое Голоустное"" с посещением пещеры",3,Большая Байкальская Тропа
106,ADMIN,2022-01-13 00:00:00.000000,null,,false,ADMIN,2022-08-01 00:00:00.000000,5Б,Популярный туристический маршрут к Пику Черского и озеру Сердце очень разнообразен и красив. Трек маршрута радиальный - начинается и заканчивается в городе Слюдянка на берегу оз. Байкал.  Пик Черского — высшая точка (2090 м) Комаринского хребта в Хамар-Да,3,Пик Черского и озеро Сердце
107,ADMIN,2022-03-20 00:00:00.000000,null,,false,ADMIN,2022-05-24 00:00:00.000000,6А,"В этом походе Камчатку можно увидеть во всём своём разнообразии: восхождения на действующие вулканы Авачинский и Дзензур, пустынные вулканические ландшафты Авачинского перевала и отрогов Корякского вулкана, альпийские луга с множеством цветов и ягод, каме",5,Налычевское кольцо
108,ADMIN,2022-03-26 00:00:00.000000,null,,false,ADMIN,2022-08-24 00:00:00.000000,6Б,"Классическое восхождение по южному склону — одно из самых простых в Приэльбрусье и подходит всем тем, кто хотел бы подняться на Эльбрус с южной стороны с меньшими затратами сил и с большей вероятностью восхождения. На маршруте вы сможете увидеть множество",6,Эльбрус с юга
109,ADMIN,2022-02-13 00:00:00.000000,null,,false,ADMIN,2022-08-20 00:00:00.000000,3А,"Восхождение на Эльбрус с севера – это путь первых покорителей горы. Если вы являетесь физически выносливым человеком и не хотите восходить на Эльбрус по самому легкому маршруту с юга, то северный путь – ваш маршрут. Подъем на эту вершину – это не только п",4,Эльбрус с севера
